city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Meiningen,50.55,10.4167,Germany,DE,Thuringia,minor,24233.0,24233.0
Waldshut-Tiengen,47.6231,8.2144,Germany,DE,Baden-Württemberg,minor,24226.0,24226.0
Sonneberg,50.35,11.1667,Germany,DE,Thuringia,minor,23830.0,23830.0
Salzwedel,52.85,11.15,Germany,DE,Saxony-Anhalt,minor,23655.0,23655.0
Calw,48.7144,8.7375,Germany,DE,Baden-Württemberg,minor,23590.0,23590.0
Korbach,51.2719,8.8731,Germany,DE,Hesse,minor,23581.0,23581.0
Starnberg,47.9972,11.3406,Germany,DE,Bavaria,minor,23498.0,23498.0
Freudenstadt,48.4633,8.4111,Germany,DE,Baden-Württemberg,minor,23442.0,23442.0
Mosbach,49.35,9.1333,Germany,DE,Baden-Württemberg,minor,23398.0,23398.0
Husum,54.4769,9.0511,Germany,DE,Schleswig-Holstein,minor,23158.0,23158.0
Westerstede,53.25,7.9167,Germany,DE,Lower Saxony,minor,22778.0,22778.0
Burg,52.2725,11.855,Germany,DE,Saxony-Anhalt,minor,22478.0,22478.0
Weilheim,47.8333,11.1333,Germany,DE,Bavaria,minor,22477.0,22477.0
Bad Kissingen,50.2,10.0667,Germany,DE,Bavaria,minor,22444.0,22444.0
Stadthagen,52.3247,9.2069,Germany,DE,Lower Saxony,minor,22247.0,22247.0
Apolda,51.0247,11.5139,Germany,DE,Thuringia,minor,22012.0,22012.0
Osterode,51.7286,10.2522,Germany,DE,Lower Saxony,minor,21731.0,21731.0
Kitzingen,49.7333,10.1667,Germany,DE,Bavaria,minor,21704.0,21704.0
Heide,54.1961,9.0933,Germany,DE,Schleswig-Holstein,minor,21684.0,21684.0
Sonthofen,47.5142,10.2817,Germany,DE,Bavaria,minor,21541.0,21541.0
Sondershausen,51.3667,10.8667,Germany,DE,Thuringia,minor,21513.0,21513.0
Aichach,48.45,11.1333,Germany,DE,Bavaria,minor,21434.0,21434.0
Germersheim,49.2167,8.3667,Germany,DE,Rhineland-Palatinate,minor,20779.0,20779.0
Günzburg,48.4525,10.2711,Germany,DE,Bavaria,minor,20707.0,20707.0
Luckenwalde,52.0831,13.1667,Germany,DE,Brandenburg,minor,20522.0,20522.0
Traunstein,47.8683,12.6433,Germany,DE,Bavaria,minor,20520.0,20520.0
Mühldorf,48.2456,12.5228,Germany,DE,Bavaria,minor,20323.0,20323.0
Wittmund,53.5747,7.7808,Germany,DE,Lower Saxony,minor,20321.0,20321.0
Bad Salzungen,50.8117,10.2333,Germany,DE,Thuringia,minor,20244.0,20244.0
Lichtenfels,50.1333,11.0333,Germany,DE,Bavaria,minor,20133.0,20133.0
Greiz,50.6547,12.1997,Germany,DE,Thuringia,minor,20103.0,20103.0
Donauwörth,48.7184,10.777,Germany,DE,Bavaria,minor,20080.0,20080.0
Torgau,51.5603,13.0056,Germany,DE,Saxony,minor,20065.0,20065.0
